COD_REG;COD_PROV;COD_UTS;PRO_COM;COMUNE;PRO_COM_OLD
1;1;201;1272;Torino;
1;2;2;2158;Vercelli;
1;3;3;3106;Novara;
1;4;4;4078;Cuneo;
1;5;5;5005;Asti;
3;19;19;19036;Cremona;
12;57;57;57059;Rieti;
12;59;59;59011;Latina;
3;18;18;18110;Pavia;
6;30;30;30129;Udine;
6;31;31;31007;Gorizia;
3;15;215;15146;Milano;
9;52;52;52032;Siena;
9;53;53;53011;Grosseto;
1;6;6;6003;Alessandria;
2;7;7;7003;Aosta;
7;8;8;8031;Imperia;
7;9;9;9056;Savona;
7;10;210;10025;Genova;
7;11;11;11015;La Spezia;
3;12;12;12133;Varese;
3;13;13;13075;Como;
3;14;14;14061;Sondrio;
3;16;16;16024;Bergamo;
3;17;17;17029;Brescia;
3;20;20;20030;Mantova;
4;21;21;21008;Bolzano/Bozen;
4;22;22;22205;Trento;
5;23;23;23091;Verona;
5;24;24;24116;Vicenza;
5;25;25;25006;Belluno;
5;26;26;26086;Treviso;
5;27;227;27042;Venezia;
5;28;28;28060;Padova;
5;29;29;29041;Rovigo;
6;32;32;32006;Trieste;
8;33;33;33032;Piacenza;
8;34;34;34027;Parma;
8;35;35;35033;Reggio nell'Emilia;
8;36;36;36023;Modena;
8;37;237;37006;Bologna;
8;38;38;38008;Ferrara;
8;39;39;39014;Ravenna;
8;40;40;40012;Forlì;
11;41;41;41044;Pesaro;
11;42;42;42002;Ancona;
11;43;43;43023;Macerata;
11;44;44;44007;Ascoli Piceno;
9;45;45;45010;Massa;
9;46;46;46017;Lucca;
9;47;47;47014;Pistoia;
9;48;248;48017;Firenze;
9;49;49;49009;Livorno;
9;50;50;50026;Pisa;
9;51;51;51002;Arezzo;
10;54;54;54039;Perugia;
10;55;55;55032;Terni;
12;56;56;56059;Viterbo;
12;58;258;58091;Roma;
12;60;60;60038;Frosinone;
15;61;61;61022;Caserta;
15;62;62;62008;Benevento;
15;63;263;63049;Napoli;
15;64;64;64008;Avellino;
15;65;65;65116;Salerno;
13;66;66;66049;L'Aquila;
13;67;67;67041;Teramo;
13;68;68;68028;Pescara;
13;69;69;69022;Chieti;
14;70;70;70006;Campobasso;
16;71;71;71024;Foggia;
16;72;272;72006;Bari;
16;73;73;73027;Taranto;
16;74;74;74001;Brindisi;
16;75;75;75035;Lecce;
17;76;76;76063;Potenza;
17;77;77;77014;Matera;
18;78;78;78045;Cosenza;
18;79;79;79023;Catanzaro;
18;80;280;80063;Reggio di Calabria;
19;81;81;81021;Trapani;
19;82;282;82053;Palermo;
19;83;283;83048;Messina;
19;84;84;84001;Agrigento;
19;85;85;85004;Caltanissetta;
19;86;86;86009;Enna;
19;87;287;87015;Catania;
19;88;88;88009;Ragusa;
19;89;89;89017;Siracusa;
6;93;93;93033;Pordenone;
14;94;94;94023;Isernia;
1;96;96;96004;Biella;
3;97;97;97042;Lecco;
3;98;98;98031;Lodi;
8;99;99;99014;Rimini;
9;100;100;100005;Prato;
18;101;101;101010;Crotone;
18;102;102;102047;Vibo Valentia;
1;103;103;103072;Verbania;
3;108;108;108033;Monza;
11;109;109;109006;Fermo;
16;110;110;110001;Andria;
16;110;110;110002;Barletta;
16;110;110;110009;Trani;
20;112;112;112050;Sassari;090064
20;113;113;113017;Olbia;090047
20;113;113;113025;Tempio Pausania;090070
20;114;114;114027;Nuoro;091051
20;115;115;115045;Oristano;095038
20;116;116;116010;Lanusei;091037
20;116;116;116017;Tortolì;091095
20;117;117;117015;Sanluri;111067
20;117;117;117025;Villacidro;111096
20;118;118;118006;Cagliari;092009
20;119;119;119003;Carbonia;111009
20;119;119;119009;Iglesias;111035
