COD_TIPO_S,id_macro,nome_macro,colore
1,1,Residenziale denso,#c0392b
6,2,Produttivo/infrastrutture,#7f0000
7,2,Produttivo/infrastrutture,#7f0000
10,2,Produttivo/infrastrutture,#7f0000
12,2,Produttivo/infrastrutture,#7f0000
21,2,Produttivo/infrastrutture,#7f0000
30,2,Produttivo/infrastrutture,#7f0000
32,2,Produttivo/infrastrutture,#7f0000
33,2,Produttivo/infrastrutture,#7f0000
34,2,Produttivo/infrastrutture,#7f0000
36,2,Produttivo/infrastrutture,#7f0000
55,2,Produttivo/infrastrutture,#7f0000
2,3,Servizi e istituzioni,#e08a5b
3,3,Servizi e istituzioni,#e08a5b
4,3,Servizi e istituzioni,#e08a5b
8,3,Servizi e istituzioni,#e08a5b
9,3,Servizi e istituzioni,#e08a5b
15,3,Servizi e istituzioni,#e08a5b
16,3,Servizi e istituzioni,#e08a5b
18,3,Servizi e istituzioni,#e08a5b
24,3,Servizi e istituzioni,#e08a5b
25,3,Servizi e istituzioni,#e08a5b
29,3,Servizi e istituzioni,#e08a5b
31,3,Servizi e istituzioni,#e08a5b
35,3,Servizi e istituzioni,#e08a5b
37,3,Servizi e istituzioni,#e08a5b
50,3,Servizi e istituzioni,#e08a5b
53,3,Servizi e istituzioni,#e08a5b
60,3,Servizi e istituzioni,#e08a5b
78,3,Servizi e istituzioni,#e08a5b
5,4,Verde urbano,#27ae60
26,5,Agricolo,#f4d35e
61,5,Agricolo,#f4d35e
62,5,Agricolo,#f4d35e
63,5,Agricolo,#f4d35e
64,5,Agricolo,#f4d35e
65,5,Agricolo,#f4d35e
66,5,Agricolo,#f4d35e
68,5,Agricolo,#f4d35e
81,5,Agricolo,#f4d35e
22,6,Vegetazione naturale,#0f6b3d
28,6,Vegetazione naturale,#0f6b3d
69,6,Vegetazione naturale,#0f6b3d
79,6,Vegetazione naturale,#0f6b3d
23,7,Acqua e zone umide,#2166ac
56,7,Acqua e zone umide,#2166ac
80,7,Acqua e zone umide,#2166ac
19,8,Altro/residuali,#9e9e9e
20,8,Altro/residuali,#9e9e9e
27,8,Altro/residuali,#9e9e9e
99,8,Altro/residuali,#9e9e9e
100,8,Altro/residuali,#9e9e9e
